# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.53491 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.358650551672e-02       2.362052315274e+04 
       1.371613998945e-02       2.365867511105e+04 
       1.384581084796e-02       2.369476288844e+04 
       1.397551821330e-02       2.372882652229e+04 
       1.410526222951e-02       2.376088510851e+04 
       1.423504306321e-02       2.379097379855e+04 
       1.436486090332e-02       2.381911083485e+04 
       1.449471596076e-02       2.384530564073e+04 
       1.462460846818e-02       2.386961953637e+04 
       1.475453867974e-02       2.389204482609e+04 
       1.488450687089e-02       2.391262713382e+04 
       1.501451333823e-02       2.393137039376e+04 
       1.514455839935e-02       2.394831762187e+04 
       1.527464239270e-02       2.396349043730e+04 
       1.540476567752e-02       2.397690672682e+04 
       1.553492863373e-02       2.398858123376e+04 
       1.566513166193e-02       2.399854952146e+04 
       1.579537518335e-02       2.400683445965e+04 
       1.592565963983e-02       2.401345633916e+04 
       1.605598549388e-02       2.401843867294e+04 
       1.618635322867e-02       2.402179498686e+04 
       1.631676334813e-02       2.402356506322e+04 
       1.644721637700e-02       2.402376187788e+04 
       1.657771286092e-02       2.402240180604e+04 
       1.670825336657e-02       2.401950201628e+04 
       1.683883848179e-02       2.401511757874e+04 
       1.696946881572e-02       2.400922333984e+04 
       1.710014499898e-02       2.400187681131e+04 
       1.723086768385e-02       2.399308159143e+04 
       1.736163754447e-02       2.398285981783e+04 
       1.749245527708e-02       2.397123294319e+04 
       1.762332160022e-02       2.395822461089e+04 
       1.775423725501e-02       2.394385961406e+04 
       1.788520300541e-02       2.392815131779e+04 
       1.801621963851e-02       2.391112167131e+04 
       1.814728796482e-02       2.389278352510e+04 
       1.827840881860e-02       2.387316238508e+04 
       1.840958305822e-02       2.385230657178e+04 
       1.854081156645e-02       2.383015850816e+04 
       1.867209525091e-02       2.380681682364e+04 
       1.880343504438e-02       2.378228123351e+04 
       1.893483190525e-02       2.375654148749e+04 
       1.906628681793e-02       2.372960204928e+04 
       1.919780079330e-02       2.370157398271e+04 
       1.932937486913e-02       2.367238069985e+04 
       1.946101011060e-02       2.364210958168e+04 
       1.959270761075e-02       2.361071208461e+04 
       1.972446849103e-02       2.357827114263e+04 
       1.985629390180e-02       2.354475293284e+04 
       1.998818502288e-02       2.351018922834e+04 
       2.012014306414e-02       2.347463321584e+04 
       2.025216926606e-02       2.343806820336e+04 
       2.038426490036e-02       2.340050097404e+04 
       2.051643127062e-02       2.336196795626e+04 
       2.064866971290e-02       2.332251541786e+04 
       2.078098159649e-02       2.328209567662e+04 
       2.091336832450e-02       2.324082712806e+04 
       2.104583133466e-02       2.319858948940e+04 
       2.117837210001e-02       2.315549205486e+04 
       2.131099212968e-02       2.311151772233e+04 
       2.144369296968e-02       2.306669742292e+04 
       2.157647620370e-02       2.302105171031e+04 
       2.170934345396e-02       2.297459551496e+04 
       2.184229638205e-02       2.292732219619e+04 
       2.197533668987e-02       2.287929300679e+04 
       2.210846612048e-02       2.283049237288e+04 
       2.224168645912e-02       2.278095722984e+04 
       2.237499953411e-02       2.273061121278e+04 
       2.250840721795e-02       2.267957332131e+04 
       2.264191142827e-02       2.262782875688e+04 
       2.277551412895e-02       2.257541239696e+04 
       2.290921733124e-02       2.252232799294e+04 
       2.304302309484e-02       2.246852948383e+04 
       2.317693352913e-02       2.241405214807e+04 
       2.331095079438e-02       2.235901745724e+04 
       2.344507710296e-02       2.230331183986e+04 
       2.357931472066e-02       2.224705062947e+04 
       2.371366596802e-02       2.219015250777e+04 
       2.384813322171e-02       2.213266177084e+04 
       2.398271891592e-02       2.207458302272e+04 
       2.411742554383e-02       2.201600316614e+04 
       2.425225565915e-02       2.195687453934e+04 
       2.438721187763e-02       2.189721640706e+04 
       2.452229687871e-02       2.183699941904e+04 
       2.465751340712e-02       2.177630242769e+04 
       2.479286427468e-02       2.171517122025e+04 
       2.492835236198e-02       2.165348662858e+04 
       2.506398062026e-02       2.159136298591e+04 
       2.519975207328e-02       2.152879316822e+04 
       2.533566981927e-02       2.146578327916e+04 
       2.547173703296e-02       2.140230404691e+04 
       2.560795696763e-02       2.133847862382e+04 
       2.574433295728e-02       2.127418088362e+04 
       2.588086841885e-02       2.120955118934e+04 
       2.601756685455e-02       2.114447490756e+04 
       2.615443185417e-02       2.107908205081e+04 
       2.629146709761e-02       2.101328343174e+04 
       2.642867635739e-02       2.094712604439e+04 
       2.656606350129e-02       2.088065634197e+04 
       2.670363249507e-02       2.081389911515e+04 
       2.684138740531e-02       2.074673539064e+04 
       2.697933240233e-02       2.067929587219e+04 
       2.711747176318e-02       2.061158053038e+04 
       2.725580987485e-02       2.054357378343e+04 
       2.739435123743e-02       2.047529570389e+04 
       2.753310046757e-02       2.040674532230e+04 
       2.767206230189e-02       2.033793168020e+04 
       2.781124160065e-02       2.026886851489e+04 
       2.795064335150e-02       2.019957457067e+04 
       2.809027267337e-02       2.013009739683e+04 
       2.823013482050e-02       2.006029267102e+04 
       2.837023518666e-02       1.999036710250e+04 
       2.851057930950e-02       1.992020741002e+04 
       2.865117287508e-02       1.984984386763e+04 
       2.879202172256e-02       1.977928083078e+04 
       2.893313184912e-02       1.970859217525e+04 
       2.907450941498e-02       1.963771992295e+04 
       2.921616074877e-02       1.956667569779e+04 
       2.935809235295e-02       1.949548332295e+04 
       2.950031090956e-02       1.942409883918e+04 
       2.964282328617e-02       1.935266145119e+04 
       2.978563654208e-02       1.928104700929e+04 
       2.992875793475e-02       1.920933111851e+04 
       3.007219492657e-02       1.913747484827e+04 
       3.021595519180e-02       1.906551331771e+04 
       3.036004662395e-02       1.899348503415e+04 
