# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.653259133118e-10       7.724090199896e-15       2.360230712093e-13       6.928262927442e-17       8.396280351191e-11       8.758503935044e-12      -7.367264543303e-15 
   41       1.678302971589e-10       8.388743494133e-15       2.265983815236e-13       7.279200002221e-17       7.980711358533e-11       8.356452758798e-12      -6.733304643919e-15 
   42       1.703525501386e-10       9.088834147931e-15       2.157717247997e-13       7.638938118371e-17       7.592867575898e-11       7.981916263303e-12      -6.349595124618e-15 
   43       1.728815100786e-10       9.824708555231e-15       2.036074350000e-13       8.007481154558e-17       7.228552604150e-11       7.632608566028e-12      -6.347570624592e-15 
   44       1.754220367576e-10       1.059704572066e-14       1.900616705491e-13       8.384832074552e-17       6.887200462767e-11       7.307742487964e-12      -6.678713163948e-15 
   45       1.779823369765e-10       1.140661531419e-14       1.750536320987e-13       8.770993207421e-17       6.568459159631e-11       7.006022616264e-12      -7.225881678249e-15 
   46       1.805690010386e-10       1.225418561070e-14       1.584923168873e-13       9.165966356546e-17       6.270831032445e-11       6.724817127352e-12      -7.844837078853e-15 
   47       1.831868021598e-10       1.314052400543e-14       1.402758104062e-13       9.569752802881e-17       5.991583449116e-11       6.460057667978e-12      -8.362652785076e-15 
   48       1.858385092511e-10       1.406628043477e-14       1.203105569765e-13       9.982353026820e-17       5.727589162061e-11       6.207411436787e-12      -8.624826169741e-15 
   49       1.885247309074e-10       1.503159757577e-14       9.857724778321e-14       1.040376577345e-16       5.478335854999e-11       5.966421733771e-12      -8.656025469286e-15 
   50       1.912436828042e-10       1.603639165234e-14       7.508228887463e-14       1.083398872943e-16       5.243611523778e-11       5.737362565417e-12      -8.541924575127e-15 
   51       1.939909754973e-10       1.708045461203e-14       4.983974719408e-14       1.127301877054e-16       5.022608053743e-11       5.520034004734e-12      -8.385331565338e-15 
   52       1.967594145144e-10       1.816344866731e-14       2.287166157849e-14       1.172085195062e-16       4.813879351442e-11       5.313726980496e-12      -8.307083977293e-15 
   53       1.995417460128e-10       1.928504632881e-14      -5.802929502971e-15       1.217748345025e-16       4.615794935184e-11       5.117530223664e-12      -8.415097280698e-15 
   54       2.023401827950e-10       2.044540534451e-14      -3.620493299782e-14       1.264290743283e-16       4.428134015826e-11       4.931424820912e-12      -8.700105623229e-15 
   55       2.051589794292e-10       2.164480637401e-14      -6.836721435029e-14       1.311711713219e-16       4.250828352011e-11       4.755409750398e-12      -9.114671894664e-15 
   56       2.080016264112e-10       2.288351881356e-14      -1.023243042471e-13       1.360010487703e-16       4.083482051392e-11       4.589163965921e-12      -9.602257736272e-15 
   57       2.108707737599e-10       2.416180143769e-14      -1.381125607115e-13       1.409186207820e-16       3.925350476289e-11       4.432025532368e-12      -1.009678351788e-14 
   58       2.137681546136e-10       2.547990304071e-14      -1.757703311967e-13       1.459237921587e-16       3.775319149350e-11       4.282970761176e-12      -1.052218831493e-14 
   59       2.166948644466e-10       2.683792959777e-14      -2.153269950835e-13       1.510164645095e-16       3.632210267901e-11       4.140893078684e-12      -1.081061010355e-14 
   60       2.196524479682e-10       2.823540826667e-14      -2.567667514982e-13       1.561965565398e-16       3.495833278730e-11       4.005562643791e-12      -1.096285594223e-14 
   61       2.226419300489e-10       2.967162308819e-14      -3.000566934806e-13       1.614639882567e-16       3.366141430388e-11       3.876853103031e-12      -1.100122204578e-14 
   62       2.256634192580e-10       3.114573576016e-14      -3.451569777145e-13       1.668186752236e-16       3.242915831029e-11       3.754450966415e-12      -1.095229556616e-14 
   63       2.287160435137e-10       3.265678175420e-14      -3.920206096863e-13       1.722605286442e-16       3.125755459443e-11       3.637844903327e-12      -1.084714576335e-14 
   64       2.317978857342e-10       3.420366643256e-14      -4.405932288434e-13       1.777894554462e-16       3.014067176100e-11       3.526315038413e-12      -1.072151517627e-14 
   65       2.349069112243e-10       3.578528936246e-14      -4.908247551622e-13       1.834053714088e-16       2.907229250460e-11       3.419132088250e-12      -1.060789587968e-14 
   66       2.380441226532e-10       3.740095658199e-14      -5.427076782672e-13       1.891082435879e-16       2.805144632558e-11       3.316227832653e-12      -1.050937839583e-14 
   67       2.412109601902e-10       3.905004896136e-14      -5.962465171948e-13       1.948980570524e-16       2.707787344793e-11       3.217647922562e-12      -1.042058980629e-14 
   68       2.444083328039e-10       4.073190141789e-14      -6.514467892736e-13       2.007748030735e-16       2.615034265536e-11       3.123349824634e-12      -1.033528481642e-14 
   69       2.476365816536e-10       4.244580261873e-14      -7.083151270703e-13       2.067384795730e-16       2.526659993769e-11       3.033197986804e-12      -1.024630993563e-14 
   70       2.508954434811e-10       4.419099468359e-14      -7.668593953356e-13       2.127890915727e-16       2.442331713727e-11       2.946959003856e-12      -1.014556765772e-14 
   71       2.541840140024e-10       4.596667288747e-14      -8.270888079506e-13       2.189266516425e-16       2.361604059536e-11       2.864296782980e-12      -1.002398064112e-14 
   72       2.575013335755e-10       4.777194689987e-14      -8.890057662148e-13       2.251511909857e-16       2.284033611727e-11       2.784863853292e-12      -9.874130854721e-15 
   73       2.608483557063e-10       4.960571654922e-14      -9.525793001184e-13       2.314627941604e-16       2.209559242352e-11       2.708606328552e-12      -9.698843091476e-15 
   74       2.642262919997e-10       5.146677156319e-14      -1.017766716728e-12       2.378615718652e-16       2.138185836606e-11       2.635509017986e-12      -9.504191999048e-15 
   75       2.676360013425e-10       5.335382676390e-14      -1.084521356305e-12       2.443476515722e-16       2.069868766571e-11       2.565501874549e-12      -9.296997922424e-15 
   76       2.710779675022e-10       5.526552089249e-14      -1.152792520241e-12       2.509211782189e-16       2.004511487173e-11       2.498457355558e-12      -9.084852156483e-15 
   77       2.745522767262e-10       5.720041543368e-14      -1.222525398994e-12       2.575823148999e-16       1.941963132149e-11       2.434187783323e-12      -8.876142198557e-15 
   78       2.780585953405e-10       5.915699344035e-14      -1.293661000023e-12       2.643312435579e-16       1.882016110004e-11       2.372442705780e-12      -8.680077000988e-15 
   79       2.815961473486e-10       6.113365835814e-14      -1.366136075724e-12       2.711681656756e-16       1.824403699976e-11       2.312906257122e-12      -8.506712223691e-15 
   80       2.851641485604e-10       6.312878603873e-14      -1.439888462135e-12       2.780932976725e-16       1.768866273676e-11       2.255275916837e-12      -8.364600448462e-15 
   81       2.887632450880e-10       6.514089376841e-14      -1.514874321328e-12       2.851068546529e-16       1.715368493221e-11       2.199520345232e-12      -8.253216309123e-15 
   82       2.923942849439e-10       6.716849858573e-14      -1.591053775898e-12       2.922090650850e-16       1.663915621031e-11       2.145661716614e-12      -8.169255803475e-15 
   83       2.960578699675e-10       6.921006651250e-14      -1.668385791863e-12       2.994001764283e-16       1.614487128698e-11       2.093697183450e-12      -8.108876049115e-15 
   84       2.997543418788e-10       7.126401236332e-14      -1.746828206792e-12       3.066804557280e-16       1.567035563787e-11       2.043597744374e-12      -8.067676553810e-15 
   85       3.034837683309e-10       7.332869955515e-14      -1.826337757946e-12       3.140501902078e-16       1.521485416654e-11       1.995307112199e-12      -8.040680485868e-15 
   86       3.072459289639e-10       7.540243991686e-14      -1.906870110409e-12       3.215096878636e-16       1.477731987243e-11       1.948740581927e-12      -8.022315944505e-15 
   87       3.110403014572e-10       7.748349349878e-14      -1.988379885227e-12       3.290592780569e-16       1.435640251904e-11       1.903783898761e-12      -8.006397230223e-15 
   88       3.148660475834e-10       7.957006838225e-14      -2.070820687540e-12       3.366993121083e-16       1.395043730190e-11       1.860292126111e-12      -7.986106115175e-15 
   89       3.187223295345e-10       8.166034556152e-14      -2.154143691906e-12       3.444301524897e-16       1.355784124807e-11       1.818125846419e-12      -7.955454447108e-15 
   90       3.226093461707e-10       8.375255847774e-14      -2.238293082631e-12       3.522521371645e-16       1.317839837813e-11       1.777268739118e-12      -7.913975727609e-15 
   91       3.265274343854e-10       8.584492566844e-14      -2.323209946686e-12       3.601656107207e-16       1.281215620411e-11       1.737726447048e-12      -7.862738405806e-15 
   92       3.304767444300e-10       8.793562698837e-14      -2.408833659270e-12       3.681709356912e-16       1.245903079413e-11       1.699490320858e-12      -7.802933474609e-15 
   93       3.344572309144e-10       9.002280379471e-14      -2.495101890331e-12       3.762684929762e-16       1.211880154881e-11       1.662536846308e-12      -7.735877933344e-15 
   94       3.384686438082e-10       9.210455913222e-14      -2.581950611087e-12       3.844586822661e-16       1.179110597770e-11       1.626827071579e-12      -7.663018250387e-15 
   95       3.425105194419e-10       9.417895791840e-14      -2.669314100544e-12       3.927419224640e-16       1.147543447567e-11       1.592306034568e-12      -7.585933825799e-15 
   96       3.465821715080e-10       9.624402712867e-14      -2.757124952018e-12       4.011186521086e-16       1.117112509932e-11       1.558902190197e-12      -7.506340453961e-15 
   97       3.506826820616e-10       9.829775598153e-14      -2.845314079652e-12       4.095893297962e-16       1.087735834341e-11       1.526526837713e-12      -7.426093786205e-15 
   98       3.548108925222e-10       1.003380961237e-13      -2.933810724939e-12       4.181544346043e-16       1.059315191727e-11       1.495073547994e-12      -7.347192793450e-15 
   99       3.589656916650e-10       1.023630086625e-13      -3.022543824250e-12       4.268144692841e-16       1.031758587122e-11       1.464443606935e-12      -7.271377515932e-15 
  100       3.631469455937e-10       1.043706124636e-13      -3.111446318344e-12       4.355699694439e-16       1.005052565148e-11       1.434627695643e-12      -7.198849817350e-15 
  101       3.673546833862e-10       1.063590572999e-13      -3.200451468216e-12       4.444214964581e-16       9.791992232335e-12       1.405634769460e-12      -7.129377026160e-15 
  102       3.715888065238e-10       1.083264796220e-13      -3.289491571268e-12       4.533696352626e-16       9.541938502133e-12       1.377466819917e-12      -7.062680046829e-15 
  103       3.758490834928e-10       1.102710033111e-13      -3.378497984325e-12       4.624149948114e-16       9.300246831791e-12       1.350118617384e-12      -6.998431904735e-15 
  104       3.801351443851e-10       1.121907404324e-13      -3.467401146658e-12       4.715582085327e-16       9.066726643336e-12       1.323577453715e-12      -6.936256291074e-15 
  105       3.844464754990e-10       1.140837919873e-13      -3.556130602991e-12       4.807999347849e-16       8.841111978436e-12       1.297822884906e-12      -6.875726107756e-15 
  106       3.887824139407e-10       1.159482486674e-13      -3.644615026528e-12       4.901408573134e-16       8.623059066931e-12       1.272826473737e-12      -6.816362012310e-15 
  107       3.931421422247e-10       1.177821916065e-13      -3.732782241963e-12       4.995816857063e-16       8.412143895368e-12       1.248551532424e-12      -6.757630962788e-15 
  108       3.975246828752e-10       1.195836931346e-13      -3.820559248500e-12       5.091231558508e-16       8.207859775529e-12       1.224952865272e-12      -6.698944762661e-15 
  109       4.019288930266e-10       1.213508175302e-13      -3.907872242872e-12       5.187660303896e-16       8.009614912970e-12       1.201976511320e-12      -6.639658605727e-15 
  110       4.063536562674e-10       1.230816697323e-13      -3.994647168607e-12       5.285110807429e-16       7.816865839077e-12       1.179572319459e-12      -6.579200960784e-15 
  111       4.107984976576e-10       1.247745469461e-13      -4.080811394370e-12       5.383590295812e-16       7.629542332169e-12       1.157734055022e-12      -6.517485239811e-15 
  112       4.152630376823e-10       1.264278079388e-13      -4.166292294488e-12       5.483106018101e-16       7.447672579747e-12       1.136463968229e-12      -6.454548336363e-15 
  113       4.197467986242e-10       1.280398280260e-13      -4.251016769761e-12       5.583665426178e-16       7.271251092488e-12       1.115760290824e-12      -6.390423832959e-15 
  114       4.242492011031e-10       1.296090002956e-13      -4.334911275655e-12       5.685276177502e-16       7.100237608053e-12       1.095617104839e-12      -6.325141836797e-15 
  115       4.287695606152e-10       1.311337368324e-13      -4.417901850487e-12       5.787946137864e-16       6.934555994881e-12       1.076024211361e-12      -6.258728815458e-15 
  116       4.333070840728e-10       1.326124699426e-13      -4.499914143616e-12       5.891683384131e-16       6.774093155991e-12       1.056966999300e-12      -6.191207432621e-15 
  117       4.378608663435e-10       1.340436533776e-13      -4.580873443633e-12       5.996496207001e-16       6.618697932783e-12       1.038426314157e-12      -6.122596383774e-15 
  118       4.424298867900e-10       1.354257635589e-13      -4.660704706545e-12       6.102393113752e-16       6.468180008839e-12       1.020378326791e-12      -6.052910231921e-15 
  119       4.470130058093e-10       1.367573008024e-13      -4.739332583971e-12       6.209382830995e-16       6.322308813721e-12       1.002794402186e-12      -5.982159243296e-15 
  120       4.516089613722e-10       1.380367905424e-13      -4.816681451327e-12       6.317474307421e-16       6.180812426775e-12       9.856409682166e-13      -5.910349223071e-15 
  121       4.562163655626e-10       1.392627845562e-13      -4.892675436015e-12       6.426676716553e-16       6.043376480927e-12       9.688793844197e-13      -5.837481351068e-15 
  122       4.608337011174e-10       1.404338621885e-13      -4.967238445613e-12       6.536999459500e-16       5.909643066487e-12       9.524658107577e-13      -5.763552017472e-15 
  123       4.654595035499e-10       1.415486791358e-13      -5.040295152771e-12       6.648451771130e-16       5.779287994123e-12       9.363615305342e-13      -5.688584802780e-15 
  124       4.700929385829e-10       1.426061175390e-13      -5.111774017977e-12       6.761041481516e-16       5.652264969243e-12       9.205655414898e-13      -5.612730927616e-15 
  125       4.747332848394e-10       1.436051555212e-13      -5.181604668791e-12       6.874776116729e-16       5.528587533570e-12       9.050854789484e-13      -5.536180086902e-15 
  126       4.793797522204e-10       1.445448227543e-13      -5.249717009593e-12       6.989663282294e-16       5.408252743723e-12       8.899274485489e-13      -5.459129426927e-15 
  127       4.840314799043e-10       1.454242020577e-13      -5.316041257301e-12       7.105710662827e-16       5.291240691535e-12       8.750959772642e-13      -5.381783633960e-15 
  128       4.886875343469e-10       1.462424309964e-13      -5.380507977081e-12       7.222926021660e-16       5.177514024365e-12       8.605939644197e-13      -5.304355022864e-15 
  129       4.933469072802e-10       1.469987034799e-13      -5.443048118070e-12       7.341317200474e-16       5.067017465422e-12       8.464226327118e-13      -5.227063625720e-15 
  130       4.980085137129e-10       1.476922713603e-13      -5.503593049089e-12       7.460892118932e-16       4.959677334072e-12       8.325814792269e-13      -5.150137280433e-15 
  131       5.026711899294e-10       1.483224460316e-13      -5.562074594359e-12       7.581658774304e-16       4.855401066161e-12       8.190682264598e-13      -5.073811719353e-15 
  132       5.073336914898e-10       1.488886000274e-13      -5.618425069218e-12       7.703625241102e-16       4.754076734331e-12       8.058787733324e-13      -4.998330657891e-15 
  133       5.119946912291e-10       1.493901686203e-13      -5.672577315838e-12       7.826799670707e-16       4.655572568331e-12       7.930071462125e-13      -4.923945883131e-15 
  134       5.166527772572e-10       1.498266514196e-13      -5.724464738939e-12       7.951190291003e-16       4.559736475340e-12       7.804454499325e-13      -4.850917342451e-15 
  135       5.213064509582e-10       1.501976139703e-13      -5.774021341507e-12       8.076805406005e-16       4.466395560278e-12       7.681838188079e-13      -4.779513232134e-15 
  136       5.259541249901e-10       1.505026893519e-13      -5.821181760511e-12       8.203653395491e-16       4.375355646127e-12       7.562103676561e-13      -4.710010085985e-15 
  137       5.305942601108e-10       1.507416070052e-13      -5.865881912817e-12       8.331742447485e-16       4.286442498737e-12       7.445136073828e-13      -4.642625749914e-15 
  138       5.352257958688e-10       1.509142791980e-13      -5.908060932775e-12       8.461079725245e-16       4.199631331229e-12       7.330900775377e-13      -4.577310290304e-15 
  139       5.398477608947e-10       1.510207265796e-13      -5.947659503786e-12       8.591672112975e-16       4.114929853486e-12       7.219374143756e-13      -4.513933516308e-15 
  140       5.444591369648e-10       1.510610535096e-13      -5.984619305313e-12       8.723526473191e-16       4.032337557103e-12       7.110519241266e-13      -4.452349818275e-15 
  141       5.490588578818e-10       1.510354498296e-13      -6.018883052471e-12       8.856649644654e-16       3.951845500402e-12       7.004285496576e-13      -4.392397830385e-15 
