# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.53491 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.358650551672e-02       2.391690048943e+04 
       1.371613998945e-02       2.395805348790e+04 
       1.384581084796e-02       2.399711666635e+04 
       1.397551821330e-02       2.403413005380e+04 
       1.410526222951e-02       2.406911248483e+04 
       1.423504306321e-02       2.410209906946e+04 
       1.436486090332e-02       2.413310780340e+04 
       1.449471596076e-02       2.416214776433e+04 
       1.462460846818e-02       2.418928063195e+04 
       1.475453867974e-02       2.421449812593e+04 
       1.488450687089e-02       2.423784604342e+04 
       1.501451333823e-02       2.425932790656e+04 
       1.514455839935e-02       2.427898688328e+04 
       1.527464239270e-02       2.429684443950e+04 
       1.540476567752e-02       2.431291827320e+04 
       1.553492863373e-02       2.432722287640e+04 
       1.566513166193e-02       2.433979389149e+04 
       1.579537518335e-02       2.435065407104e+04 
       1.592565963983e-02       2.435982358153e+04 
       1.605598549388e-02       2.436732583958e+04 
       1.618635322867e-02       2.437317414945e+04 
       1.631676334813e-02       2.437740846304e+04 
       1.644721637700e-02       2.438004154109e+04 
       1.657771286092e-02       2.438108958863e+04 
       1.670825336657e-02       2.438056959405e+04 
       1.683883848179e-02       2.437853712078e+04 
       1.696946881572e-02       2.437496616558e+04 
       1.710014499898e-02       2.436991473009e+04 
       1.723086768385e-02       2.436338605265e+04 
       1.736163754447e-02       2.435540217149e+04 
       1.749245527708e-02       2.434598449221e+04 
       1.762332160022e-02       2.433515654274e+04 
       1.775423725501e-02       2.432294309084e+04 
       1.788520300541e-02       2.430935724894e+04 
       1.801621963851e-02       2.429442085937e+04 
       1.814728796482e-02       2.427814644300e+04 
       1.827840881860e-02       2.426055943461e+04 
       1.840958305822e-02       2.424170849175e+04 
       1.854081156645e-02       2.422153451253e+04 
       1.867209525091e-02       2.420013716143e+04 
       1.880343504438e-02       2.417751573956e+04 
       1.893483190525e-02       2.415365910803e+04 
       1.906628681793e-02       2.412857132417e+04 
       1.919780079330e-02       2.410236481563e+04 
       1.932937486913e-02       2.407496095850e+04 
       1.946101011060e-02       2.404644818908e+04 
       1.959270761075e-02       2.401677659403e+04 
       1.972446849103e-02       2.398602983047e+04 
       1.985629390180e-02       2.395417308657e+04 
       1.998818502288e-02       2.392123807626e+04 
       2.012014306414e-02       2.388727852056e+04 
       2.025216926606e-02       2.385227684757e+04 
       2.038426490036e-02       2.381623949405e+04 
       2.051643127062e-02       2.377920317300e+04 
       2.064866971290e-02       2.374121458557e+04 
       2.078098159649e-02       2.370222474654e+04 
       2.091336832450e-02       2.366235400508e+04 
       2.104583133466e-02       2.362147936708e+04 
       2.117837210001e-02       2.357971202213e+04 
       2.131099212968e-02       2.353703427415e+04 
       2.144369296968e-02       2.349347741953e+04 
       2.157647620370e-02       2.344906224768e+04 
       2.170934345396e-02       2.340380383351e+04 
       2.184229638205e-02       2.335769528032e+04 
       2.197533668987e-02       2.331079896661e+04 
       2.210846612048e-02       2.326309895000e+04 
       2.224168645912e-02       2.321463286079e+04 
       2.237499953411e-02       2.316532276137e+04 
       2.250840721795e-02       2.311528999641e+04 
       2.264191142827e-02       2.306451952881e+04 
       2.277551412895e-02       2.301304694981e+04 
       2.290921733124e-02       2.296087610250e+04 
       2.304302309484e-02       2.290795995456e+04 
       2.317693352913e-02       2.285433453288e+04 
       2.331095079438e-02       2.280012391399e+04 
       2.344507710296e-02       2.274521212099e+04 
       2.357931472066e-02       2.268971694028e+04 
       2.371366596802e-02       2.263355529706e+04 
       2.384813322171e-02       2.257677240312e+04 
       2.398271891592e-02       2.251937293663e+04 
       2.411742554383e-02       2.246144565064e+04 
       2.425225565915e-02       2.240294178779e+04 
       2.438721187763e-02       2.234388094949e+04 
       2.452229687871e-02       2.228423303821e+04 
       2.465751340712e-02       2.222407857447e+04 
       2.479286427468e-02       2.216346426440e+04 
       2.492835236198e-02       2.210226811797e+04 
       2.506398062026e-02       2.204060692965e+04 
       2.519975207328e-02       2.197847325848e+04 
       2.533566981927e-02       2.191587319577e+04 
       2.547173703296e-02       2.185277661782e+04 
       2.560795696763e-02       2.178930938391e+04 
       2.574433295728e-02       2.172534226517e+04 
       2.588086841885e-02       2.166101872416e+04 
       2.601756685455e-02       2.159622127871e+04 
       2.615443185417e-02       2.153108282652e+04 
       2.629146709761e-02       2.146551190996e+04 
