# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.53491 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.358650551672e-02       2.382998059994e+04 
       1.371613998945e-02       2.387036628947e+04 
       1.384581084796e-02       2.390867261783e+04 
       1.397551821330e-02       2.394493944738e+04 
       1.410526222951e-02       2.397918550863e+04 
       1.423504306321e-02       2.401144575340e+04 
       1.436486090332e-02       2.404173806885e+04 
       1.449471596076e-02       2.407007144114e+04 
       1.462460846818e-02       2.409650728374e+04 
       1.475453867974e-02       2.412103730989e+04 
       1.488450687089e-02       2.414370710074e+04 
       1.501451333823e-02       2.416452013006e+04 
       1.514455839935e-02       2.418351936577e+04 
       1.527464239270e-02       2.420072616803e+04 
       1.540476567752e-02       2.421615813276e+04 
       1.553492863373e-02       2.422982968543e+04 
       1.566513166193e-02       2.424177630323e+04 
       1.579537518335e-02       2.425202064389e+04 
       1.592565963983e-02       2.426058276624e+04 
       1.605598549388e-02       2.426748599477e+04 
       1.618635322867e-02       2.427274356357e+04 
       1.631676334813e-02       2.427639526536e+04 
       1.644721637700e-02       2.427845379541e+04 
       1.657771286092e-02       2.427893529243e+04 
       1.670825336657e-02       2.427785670392e+04 
       1.683883848179e-02       2.427527332763e+04 
       1.696946881572e-02       2.427115931454e+04 
       1.710014499898e-02       2.426557245156e+04 
       1.723086768385e-02       2.425851598961e+04 
       1.736163754447e-02       2.425001194355e+04 
       1.749245527708e-02       2.424008164327e+04 
       1.762332160022e-02       2.422874864418e+04 
       1.775423725501e-02       2.421603767434e+04 
       1.788520300541e-02       2.420196190157e+04 
       1.801621963851e-02       2.418654318999e+04 
       1.814728796482e-02       2.416979419896e+04 
       1.827840881860e-02       2.415174040828e+04 
       1.840958305822e-02       2.413243041235e+04 
       1.854081156645e-02       2.411180556766e+04 
       1.867209525091e-02       2.408996543405e+04 
       1.880343504438e-02       2.406690940668e+04 
       1.893483190525e-02       2.404262678502e+04 
       1.906628681793e-02       2.401712177319e+04 
       1.919780079330e-02       2.399050659172e+04 
       1.932937486913e-02       2.396270334291e+04 
       1.946101011060e-02       2.393380027573e+04 
       1.959270761075e-02       2.390374790643e+04 
       1.972446849103e-02       2.387263000305e+04 
       1.985629390180e-02       2.384041200569e+04 
       1.998818502288e-02       2.380712584404e+04 
       2.012014306414e-02       2.377282517046e+04 
       2.025216926606e-02       2.373749280118e+04 
       2.038426490036e-02       2.370113535221e+04 
       2.051643127062e-02       2.366378950715e+04 
       2.064866971290e-02       2.362550194249e+04 
       2.078098159649e-02       2.358622405507e+04 
       2.091336832450e-02       2.354607569762e+04 
       2.104583133466e-02       2.350493462424e+04 
       2.117837210001e-02       2.346291147471e+04 
       2.131099212968e-02       2.341998867547e+04 
       2.144369296968e-02       2.337619739005e+04 
       2.157647620370e-02       2.333155826169e+04 
       2.170934345396e-02       2.328608623388e+04 
       2.184229638205e-02       2.323977436025e+04 
       2.197533668987e-02       2.319268461288e+04 
       2.210846612048e-02       2.314480099027e+04 
       2.224168645912e-02       2.309616079855e+04 
       2.237499953411e-02       2.304668631305e+04 
       2.250840721795e-02       2.299649817127e+04 
       2.264191142827e-02       2.294558117184e+04 
       2.277551412895e-02       2.289397056229e+04 
