# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.652295554105e-10       7.655282086662e-15       2.362134038704e-13       0.000000000000e+00       8.396280351191e-11       8.758503935044e-12      -7.367264543303e-15 
   41       1.677298843053e-10       8.316520296227e-15       2.268026001100e-13       0.000000000000e+00       7.980711358533e-11       8.356452758798e-12      -6.733304643919e-15 
   42       1.702480381430e-10       9.013120274123e-15       2.159901878017e-13       0.000000000000e+00       7.592867575898e-11       7.981916263303e-12      -6.349595124618e-15 
   43       1.727728582292e-10       9.745429359672e-15       2.038404542353e-13       0.000000000000e+00       7.228552604150e-11       7.632608566028e-12      -6.347570624592e-15 
   44       1.753092069895e-10       1.051412761382e-14       1.903095055761e-13       0.000000000000e+00       6.887200462767e-11       7.307742487964e-12      -6.678713163948e-15 
   45       1.778652936113e-10       1.131998583610e-14       1.753164844562e-13       0.000000000000e+00       6.568459159631e-11       7.006022616264e-12      -7.225881678249e-15 
   46       1.804477107402e-10       1.216377349050e-14       1.587703241421e-13       0.000000000000e+00       6.270831032445e-11       6.724817127352e-12      -7.844837078853e-15 
   47       1.830612338872e-10       1.304625922197e-14       1.405690399989e-13       0.000000000000e+00       5.991583449116e-11       6.460057667978e-12      -8.362652785076e-15 
   48       1.857086340570e-10       1.396809431341e-14       1.206190002766e-13       0.000000000000e+00       5.727589162061e-11       6.207411436787e-12      -8.624826169741e-15 
   49       1.883905212231e-10       1.492942300344e-14       9.890081531152e-14       0.000000000000e+00       5.478335854999e-11       5.966421733771e-12      -8.656025469286e-15 
   50       1.911051120896e-10       1.593016320949e-14       7.542080434075e-14       0.000000000000e+00       5.243611523778e-11       5.737362565417e-12      -8.541924575127e-15 
   51       1.938480180206e-10       1.697010867527e-14       5.019294097413e-14       0.000000000000e+00       5.022608053743e-11       5.520034004734e-12      -8.385331565338e-15 
   52       1.966120451216e-10       1.804892351483e-14       2.323916401219e-14       0.000000000000e+00       4.813879351442e-11       5.313726980496e-12      -8.307083977293e-15 
   53       1.993899400523e-10       1.916628225854e-14      -5.421593502809e-15       0.000000000000e+00       4.615794935184e-11       5.117530223664e-12      -8.415097280698e-15 
   54       2.021839165751e-10       2.032234482738e-14      -3.581034458540e-14       0.000000000000e+00       4.428134015826e-11       4.931424820912e-12      -8.700105623229e-15 
   55       2.049982302612e-10       2.151739418610e-14      -6.796006523137e-14       0.000000000000e+00       4.250828352011e-11       4.755409750398e-12      -9.114671894664e-15 
   56       2.078363724976e-10       2.275170216253e-14      -1.019054026660e-13       0.000000000000e+00       4.083482051392e-11       4.589163965921e-12      -9.602257736272e-15 
   57       2.107009940788e-10       2.402553009246e-14      -1.376828375563e-13       0.000000000000e+00       3.925350476289e-11       4.432025532368e-12      -1.009678351788e-14 
   58       2.135938288002e-10       2.533912946445e-14      -1.753308462236e-13       0.000000000000e+00       3.775319149350e-11       4.282970761176e-12      -1.052218831493e-14 
   59       2.165159730436e-10       2.669260900923e-14      -2.148789407346e-13       0.000000000000e+00       3.632210267901e-11       4.140893078684e-12      -1.081061010355e-14 
   60       2.194689738907e-10       2.808549845972e-14      -2.563114485844e-13       0.000000000000e+00       3.495833278730e-11       4.005562643791e-12      -1.096285594223e-14 
   61       2.224538591121e-10       2.951708444273e-14      -2.995955933159e-13       0.000000000000e+00       3.366141430388e-11       3.876853103031e-12      -1.100122204578e-14 
   62       2.254707403656e-10       3.098653132372e-14      -3.446916666411e-13       0.000000000000e+00       3.242915831029e-11       3.754450966415e-12      -1.095229556616e-14 
   63       2.285187488565e-10       3.249287732433e-14      -3.915528136321e-13       0.000000000000e+00       3.125755459443e-11       3.637844903327e-12      -1.084714576335e-14 
   64       2.315959709975e-10       3.403503063990e-14      -4.401248179126e-13       0.000000000000e+00       3.014067176100e-11       3.526315038413e-12      -1.072151517627e-14 
   65       2.347003759293e-10       3.561189359162e-14      -4.903577457569e-13       0.000000000000e+00       2.907229250460e-11       3.419132088250e-12      -1.060789587968e-14 
   66       2.378329709096e-10       3.722277436380e-14      -5.422442271205e-13       0.000000000000e+00       2.805144632558e-11       3.316227832653e-12      -1.050937839583e-14 
   67       2.409952011421e-10       3.886705578282e-14      -5.957889218337e-13       0.000000000000e+00       2.707787344793e-11       3.217647922562e-12      -1.042058980629e-14 
   68       2.441879809712e-10       4.054407468145e-14      -6.509974907951e-13       0.000000000000e+00       2.615034265536e-11       3.123349824634e-12      -1.033528481642e-14 
   69       2.474116572862e-10       4.225312159781e-14      -7.078767128813e-13       0.000000000000e+00       2.526659993769e-11       3.033197986804e-12      -1.024630993563e-14 
   70       2.506659729264e-10       4.399344047427e-14      -7.664346018553e-13       0.000000000000e+00       2.442331713727e-11       2.946959003856e-12      -1.014556765772e-14 
   71       2.539500300850e-10       4.576422835639e-14      -8.266805232760e-13       0.000000000000e+00       2.361604059536e-11       2.864296782980e-12      -1.002398064112e-14 
   72       2.572628755097e-10       4.756459653578e-14      -8.886170315599e-13       0.000000000000e+00       2.284033611727e-11       2.784863853292e-12      -9.874130854721e-15 
   73       2.606054674717e-10       4.939344601282e-14      -9.522133073851e-13       0.000000000000e+00       2.209559242352e-11       2.708606328552e-12      -9.698843091476e-15 
   74       2.639790219801e-10       5.124956747361e-14      -1.017426809132e-12       0.000000000000e+00       2.138185836606e-11       2.635509017986e-12      -9.504191999048e-15 
   75       2.673844024215e-10       5.313167656674e-14      -1.084211030064e-12       0.000000000000e+00       2.069868766571e-11       2.565501874549e-12      -9.296997922424e-15 
   76       2.708220971607e-10       5.503841272188e-14      -1.152515426194e-12       0.000000000000e+00       2.004511487173e-11       2.498457355558e-12      -9.084852156483e-15 
   77       2.742921971414e-10       5.696833796849e-14      -1.222285344160e-12       0.000000000000e+00       1.941963132149e-11       2.434187783323e-12      -8.876142198557e-15 
   78       2.777943734871e-10       5.891993575443e-14      -1.293461949097e-12       0.000000000000e+00       1.882016110004e-11       2.372442705780e-12      -8.680077000988e-15 
   79       2.813278551015e-10       6.089160976462e-14      -1.365982152505e-12       0.000000000000e+00       1.824403699976e-11       2.312906257122e-12      -8.506712223691e-15 
