# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.53491 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.358650551672e-02       2.370459284068e+04 
       1.371613998945e-02       2.374346406017e+04 
       1.384581084796e-02       2.378026041611e+04 
       1.397551821330e-02       2.381502211573e+04 
       1.410526222951e-02       2.384776836504e+04 
       1.423504306321e-02       2.387853447743e+04 
       1.436486090332e-02       2.390733881001e+04 
       1.449471596076e-02       2.393419088502e+04 
       1.462460846818e-02       2.395915228839e+04 
       1.475453867974e-02       2.398221534118e+04 
       1.488450687089e-02       2.400342588513e+04 
       1.501451333823e-02       2.402278791140e+04 
       1.514455839935e-02       2.404034463815e+04 
       1.527464239270e-02       2.405611779611e+04 
       1.540476567752e-02       2.407012538044e+04 
       1.553492863373e-02       2.408238220828e+04 
       1.566513166193e-02       2.409292401146e+04 
       1.579537518335e-02       2.410177376039e+04 
       1.592565963983e-02       2.410895185952e+04 
       1.605598549388e-02       2.411448191966e+04 
       1.618635322867e-02       2.411837754426e+04 
       1.631676334813e-02       2.412067867741e+04 
       1.644721637700e-02       2.412139836789e+04 
       1.657771286092e-02       2.412055306430e+04 
       1.670825336657e-02       2.411815998339e+04 
       1.683883848179e-02       2.411427445967e+04 
       1.696946881572e-02       2.410887120141e+04 
       1.710014499898e-02       2.410200793390e+04 
       1.723086768385e-02       2.409368825280e+04 
       1.736163754447e-02       2.408393432572e+04 
       1.749245527708e-02       2.407276768711e+04 
       1.762332160022e-02       2.406021195982e+04 
       1.775423725501e-02       2.404629198255e+04 
       1.788520300541e-02       2.403102107399e+04 
       1.801621963851e-02       2.401442116870e+04 
       1.814728796482e-02       2.399650498892e+04 
       1.827840881860e-02       2.397729800232e+04 
       1.840958305822e-02       2.395684859365e+04 
       1.854081156645e-02       2.393509875509e+04 
       1.867209525091e-02       2.391214721181e+04 
       1.880343504438e-02       2.388799359714e+04 
       1.893483190525e-02       2.386262724129e+04 
       1.906628681793e-02       2.383605247366e+04 
       1.919780079330e-02       2.380838055136e+04 
       1.932937486913e-02       2.377953419657e+04 
       1.946101011060e-02       2.374960096856e+04 
       1.959270761075e-02       2.371853192142e+04 
       1.972446849103e-02       2.368640987371e+04 
       1.985629390180e-02       2.365320077276e+04 
       1.998818502288e-02       2.361893618365e+04 
       2.012014306414e-02       2.358366936062e+04 
       2.025216926606e-02       2.354738324420e+04 
       2.038426490036e-02       2.351008445101e+04 
       2.051643127062e-02       2.347180944182e+04 
       2.064866971290e-02       2.343260450958e+04 
       2.078098159649e-02       2.339242161831e+04 
       2.091336832450e-02       2.335137963617e+04 
       2.104583133466e-02       2.330935758357e+04 
       2.117837210001e-02       2.326646528174e+04 
       2.131099212968e-02       2.322268552351e+04 
       2.144369296968e-02       2.317804937468e+04 
       2.157647620370e-02       2.313257753910e+04 
       2.170934345396e-02       2.308628508409e+04 
       2.184229638205e-02       2.303916543090e+04 
       2.197533668987e-02       2.299128022761e+04 
       2.210846612048e-02       2.294261397360e+04 
       2.224168645912e-02       2.289320392431e+04 
       2.237499953411e-02       2.284297353709e+04 
       2.250840721795e-02       2.279204248592e+04 
       2.264191142827e-02       2.274039614846e+04 
       2.277551412895e-02       2.268806974098e+04 
       2.290921733124e-02       2.263506721984e+04 
       2.304302309484e-02       2.258134247215e+04 
       2.317693352913e-02       2.252693113453e+04 
       2.331095079438e-02       2.247195546661e+04 
       2.344507710296e-02       2.241630150545e+04 
       2.357931472066e-02       2.236008529785e+04 
       2.371366596802e-02       2.230322526560e+04 
       2.384813322171e-02       2.224576604117e+04 
       2.398271891592e-02       2.218771237581e+04 
       2.411742554383e-02       2.212915169911e+04 
       2.425225565915e-02       2.207003619172e+04 
       2.438721187763e-02       2.201038526405e+04 
       2.452229687871e-02       2.195016945806e+04 
       2.465751340712e-02       2.188946806988e+04 
       2.479286427468e-02       2.182832712835e+04 
       2.492835236198e-02       2.176662683779e+04 
       2.506398062026e-02       2.170448212040e+04 
       2.519975207328e-02       2.164188577049e+04 
       2.533566981927e-02       2.157884388177e+04 
       2.547173703296e-02       2.151532696362e+04 
       2.560795696763e-02       2.145145877848e+04 
       2.574433295728e-02       2.138711245994e+04 
       2.588086841885e-02       2.132242903940e+04 
       2.601756685455e-02       2.125729320653e+04 
       2.615443185417e-02       2.119183558435e+04 
       2.629146709761e-02       2.112596643475e+04 
       2.642867635739e-02       2.105973295054e+04 
       2.656606350129e-02       2.099318174714e+04 
       2.670363249507e-02       2.092633767005e+04 
       2.684138740531e-02       2.085908109976e+04 
       2.697933240233e-02       2.079154334772e+04 
       2.711747176318e-02       2.072372435661e+04 
       2.725580987485e-02       2.065560844168e+04 
       2.739435123743e-02       2.058721575826e+04 
       2.753310046757e-02       2.051854531711e+04 
       2.767206230189e-02       2.044960620339e+04 
       2.781124160065e-02       2.038041225451e+04 
       2.795064335150e-02       2.031098232720e+04 
       2.809027267337e-02       2.024136427376e+04 
       2.823013482050e-02       2.017141301901e+04 
       2.837023518666e-02       2.010133646524e+04 
       2.851057930950e-02       2.003102077823e+04 
       2.865117287508e-02       1.996049644357e+04 
       2.879202172256e-02       1.988976795170e+04 
       2.893313184912e-02       1.981890963561e+04 
       2.907450941498e-02       1.974786330953e+04 
       2.921616074877e-02       1.967664074092e+04 
       2.935809235295e-02       1.960526598425e+04 
       2.950031090956e-02       1.953369493000e+04 
       2.964282328617e-02       1.946206761929e+04 
       2.978563654208e-02       1.939025934117e+04 
       2.992875793475e-02       1.931834620958e+04 
       3.007219492657e-02       1.924628909570e+04 
       3.021595519180e-02       1.917412344977e+04 
       3.036004662395e-02       1.910188802727e+04 
       3.050447734333e-02       1.902951449359e+04 
       3.064925570504e-02       1.895703901108e+04 
       3.079439030726e-02       1.888453520391e+04 
       3.093988999989e-02       1.881187557606e+04 
       3.108576389362e-02       1.873920581408e+04 
       3.123202136935e-02       1.866646804338e+04 
       3.137867208810e-02       1.859366311396e+04 
       3.152572600133e-02       1.852077624193e+04 
       3.167319336170e-02       1.844787882953e+04 
       3.182108473446e-02       1.837488838658e+04 
       3.196941100920e-02       1.830184479836e+04 
       3.211818341231e-02       1.822885135337e+04 
       3.226741351994e-02       1.815577588920e+04 
       3.241711327162e-02       1.808271540525e+04 
       3.256729498455e-02       1.800960265158e+04 
       3.271797136857e-02       1.793646348196e+04 
       3.286915554190e-02       1.786336199108e+04 
       3.302086104765e-02       1.779021648514e+04 
       3.317310187118e-02       1.771705678042e+04 
       3.332589245834e-02       1.764395936782e+04 
       3.347924773468e-02       1.757088892572e+04 
       3.363318312558e-02       1.749772048623e+04 
       3.378771457760e-02       1.742465859347e+04 
       3.394285858079e-02       1.735159620013e+04 
       3.409863219234e-02       1.727850454080e+04 
       3.425505306144e-02       1.720545454629e+04 
       3.441213945556e-02       1.713245870729e+04 
       3.456991028818e-02       1.705951392754e+04 
       3.472838514804e-02       1.698655672601e+04 
       3.488758433012e-02       1.691361163193e+04 
       3.504752886839e-02       1.684075907884e+04 
       3.520824057041e-02       1.676792458034e+04 
       3.536974205406e-02       1.669511636775e+04 
       3.553205678642e-02       1.662234838552e+04 
       3.569520912495e-02       1.654964632524e+04 
       3.585922436124e-02       1.647704250258e+04 
       3.602412876751e-02       1.640446420813e+04 
       3.618994964586e-02       1.633188044772e+04 
       3.635671538081e-02       1.625935071975e+04 
       3.652445549510e-02       1.618691457069e+04 
       3.669320070918e-02       1.611446740221e+04 
       3.686298300452e-02       1.604209564938e+04 
       3.703383569127e-02       1.596983302798e+04 
       3.720579348033e-02       1.589755327450e+04 
       3.737889256048e-02       1.582534575242e+04 
       3.755317068075e-02       1.575316785606e+04 
       3.772866723865e-02       1.568106426903e+04 
       3.790542337462e-02       1.560902973571e+04 
       3.808348207333e-02       1.553702740608e+04 
       3.826288827237e-02       1.546504959265e+04 
       3.844368897902e-02       1.539309426222e+04 
       3.862593339577e-02       1.532126808646e+04 
       3.880967305549e-02       1.524942354884e+04 
       3.899496196701e-02       1.517758714014e+04 
       3.918185677219e-02       1.510585403979e+04 
       3.937041691553e-02       1.503410236129e+04 
       3.956070482749e-02       1.496239179132e+04 
       3.975278612296e-02       1.489070989329e+04 
       3.994672981632e-02       1.481905664535e+04 
       4.014260855473e-02       1.474743220438e+04 
       4.034049887166e-02       1.467583498903e+04 
       4.054048146260e-02       1.460417879973e+04 
       4.074264148545e-02       1.453252751169e+04 
       4.094706888819e-02       1.446094521692e+04 
       4.115385876677e-02       1.438933461110e+04 
       4.136311175672e-02       1.431768589368e+04 
       4.157493446222e-02       1.424599710536e+04 
       4.178943992698e-02       1.417433587933e+04 
       4.200674815187e-02       1.410258491080e+04 
       4.222698666486e-02       1.403083307065e+04 
       4.245029114983e-02       1.395899050290e+04 
       4.267680614122e-02       1.388708327256e+04 
       4.290668579337e-02       1.381510789114e+04 
       4.314009473378e-02       1.374306096972e+04 
       4.337720901158e-02       1.367087654163e+04 
       4.361821715409e-02       1.359865767543e+04 
       4.386332134615e-02       1.352624950657e+04 
       4.411273874961e-02       1.345373371963e+04 
       4.436670298304e-02       1.338105481262e+04 
       4.462546578517e-02       1.330821295175e+04 
       4.488929888946e-02       1.323518080670e+04 
       4.515849614237e-02       1.316191885843e+04 
       4.543337590333e-02       1.308843817759e+04 
       4.571428377167e-02       1.301470913007e+04 
       4.600159569420e-02       1.294069483281e+04 
       4.629572151746e-02       1.286640114788e+04 
       4.659710906112e-02       1.279180839015e+04 
       4.690624880477e-02       1.271682388374e+04 
       4.722367929881e-02       1.264142625155e+04 
       4.754999343417e-02       1.256566075627e+04 
       4.788584573408e-02       1.248931457332e+04 
       4.823196086776e-02       1.241256162160e+04 
       4.858914363080e-02       1.233519714206e+04 
       4.895829069414e-02       1.225722266440e+04 
       4.934040449490e-02       1.217858702021e+04 
       4.973660973320e-02       1.209919035663e+04 
       5.014817305378e-02       1.201895278785e+04 
       5.057652663786e-02       1.193780210986e+04 
       5.102329661699e-02       1.185567118375e+04 
       5.149033745829e-02       1.177241539289e+04 
       5.197977377299e-02       1.168787926012e+04 
       5.249405138330e-02       1.160195464951e+04 
       5.303599996276e-02       1.151441214226e+04 
       5.360891015744e-02       1.142505117750e+04 
       5.421662880258e-02       1.133364075704e+04 
       5.486367664725e-02       1.123981916456e+04 
       5.555539379835e-02       1.114318559428e+04 
       5.629811866726e-02       1.104328629288e+04 
       5.709940604132e-02       1.093942879882e+04 
       5.796828795772e-02       1.083084801692e+04 
       5.891557526987e-02       1.071645816266e+04 
       5.995418433544e-02       1.059486131611e+04 
       6.109944551485e-02       1.046415699780e+04 
       6.236929812133e-02       1.032188896803e+04 
       6.378418878331e-02       1.016467008641e+04 
       6.536636562026e-02       9.988163774421e+03 
       6.713814057353e-02       9.786836282196e+03 
       6.911871977422e-02       9.554256108152e+03 
       7.131965191023e-02       9.283846586880e+03 
       7.374002532023e-02       8.970494683246e+03 
       7.636379223756e-02       8.612839724658e+03 
