5.249826897632527e+00 3.553686487914035e-15 1.708218899550396e+23 -1.000000000000000e+00
5.249826975861044e+00 3.553686487914035e-15 1.708218899550396e+23 -1.000000000000000e+00
5.250467745642492e+00 3.553686487914035e-15 1.708218899550396e+23 -1.000000000000000e+00
5.250472160238895e+00 1.392001434484465e-09 1.113327770388231e+12 -1.000000000000000e+00
5.250481290604952e+00 1.411698004409534e-09 1.082477344194564e+12 -1.000000000000000e+00
5.250490550163847e+00 1.431673277256311e-09 1.052481786782495e+12 -1.000000000000000e+00
5.250499940743627e+00 1.451931196621011e-09 1.023317409637394e+12 -1.000000000000000e+00
5.250509464198211e+00 1.472475761901022e-09 9.949611806562230e+11 -1.000000000000000e+00
5.250519122407743e+00 1.493311029084488e-09 9.673907059582927e+11 -1.000000000000000e+00
5.250528917278978e+00 1.514441111551058e-09 9.405842122000420e+11 -1.000000000000000e+00
5.250538850745648e+00 1.535870180883958e-09 9.145205293798802e+11 -1.000000000000000e+00
5.250548924768846e+00 1.557602467693572e-09 8.891790741195070e+11 -1.000000000000000e+00
5.250559141337414e+00 1.579642262452654e-09 8.645398334085095e+11 -1.000000000000000e+00
5.250569502468338e+00 1.601993916343382e-09 8.405833487993988e+11 -1.000000000000000e+00
5.250580010207141e+00 1.624661842116374e-09 8.172907010406039e+11 -1.000000000000000e+00
5.250590666628290e+00 1.647650514961879e-09 7.946434951352874e+11 -1.000000000000000e+00
5.250601473835609e+00 1.670964473393281e-09 7.726238458141830e+11 -1.000000000000000e+00
5.250612433962685e+00 1.694608320143113e-09 7.512143634109822e+11 -1.000000000000000e+00
5.250623549173297e+00 1.718586723071746e-09 7.303981401291171e+11 -1.000000000000000e+00
5.250634821661842e+00 1.742904416088933e-09 7.101587366890898e+11 -1.000000000000000e+00
5.250646253653765e+00 1.767566200088403e-09 6.904801693458087e+11 -1.000000000000000e+00
5.250657847406002e+00 1.792576943895663e-09 6.713468972656742e+11 -1.000000000000000e+00
5.250669605207422e+00 1.817941585229229e-09 6.527438102534475e+11 -1.000000000000000e+00
5.250681529379285e+00 1.843665131675444e-09 6.346562168192097e+11 -1.000000000000000e+00
5.250693622275689e+00 1.869752661677096e-09 6.170698325759861e+11 -1.000000000000000e+00
5.250705886284049e+00 1.896209325536029e-09 5.999707689588740e+11 -1.000000000000000e+00
