# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   76       3.353401757171e-10       4.849283086058e-14      -1.249840152505e-12       0.000000000000e+00       1.055999994358e-11       2.594449668476e-12      -8.483022681969e-15 
   77       3.397217357772e-10       5.021817212182e-14      -1.318463348285e-12       0.000000000000e+00       1.019954760223e-11       2.524500871795e-12      -8.450398644013e-15 
   78       3.441252125534e-10       5.196514081432e-14      -1.388450044855e-12       0.000000000000e+00       9.855061003760e-12       2.457340030560e-12      -8.404291311793e-15 
   79       3.485491996887e-10       5.373279729708e-14      -1.459796529860e-12       0.000000000000e+00       9.524876939071e-12       2.392615447625e-12      -8.340905508198e-15 
   80       3.529923657790e-10       5.552012665111e-14      -1.532492555235e-12       0.000000000000e+00       9.207378361345e-12       2.329990563071e-12      -8.257214088995e-15 
   81       3.574552698156e-10       5.732590598462e-14      -1.606496095174e-12       0.000000000000e+00       8.902311055717e-12       2.269428512443e-12      -8.154494413079e-15 
   82       3.619388186377e-10       5.914881407852e-14      -1.681754365065e-12       0.000000000000e+00       8.609670549546e-12       2.210951948218e-12      -8.035389838200e-15 
   83       3.664437069261e-10       6.098747012369e-14      -1.758211304574e-12       0.000000000000e+00       8.329299965124e-12       2.154556398139e-12      -7.902865780483e-15 
   84       3.709704038208e-10       6.284043300927e-14      -1.835807530199e-12       0.000000000000e+00       8.060883396707e-12       2.100209041943e-12      -7.760219791837e-15 
   85       3.755191395390e-10       6.470620061091e-14      -1.914480287840e-12       0.000000000000e+00       7.803939287543e-12       2.047847488088e-12      -7.611091637355e-15 
   86       3.800898919933e-10       6.658320907906e-14      -1.994163405358e-12       0.000000000000e+00       7.557813806909e-12       1.997378550483e-12      -7.459473372727e-15 
   87       3.846823734099e-10       6.846983212726e-14      -2.074787245141e-12       0.000000000000e+00       7.321674227133e-12       1.948677025216e-12      -7.309719421638e-15 
   88       3.892960169457e-10       7.036438032041e-14      -2.156278656665e-12       0.000000000000e+00       7.094502300632e-12       1.901584467281e-12      -7.166556653177e-15 
   89       3.939302597897e-10       7.226516268908e-14      -2.238566147262e-12       0.000000000000e+00       6.875330318135e-12       1.855949324423e-12      -7.034146927458e-15 
   90       3.985854725268e-10       7.417068420064e-14      -2.321596427411e-12       0.000000000000e+00       6.664006157376e-12       1.811757220217e-12      -6.913084234892e-15 
   91       4.032621515837e-10       7.607947809773e-14      -2.405320385539e-12       0.000000000000e+00       6.460536601737e-12       1.769018949474e-12      -6.802942881195e-15 
   92       4.079606269095e-10       7.799004654873e-14      -2.489688131172e-12       0.000000000000e+00       6.264852396990e-12       1.727730345203e-12      -6.703179025401e-15 
   93       4.126810530345e-10       7.990086086976e-14      -2.574649025677e-12       0.000000000000e+00       6.076805264002e-12       1.687871674920e-12      -6.613126562043e-15 
   94       4.174234001311e-10       8.181036174665e-14      -2.660151712994e-12       0.000000000000e+00       5.896164911440e-12       1.649407036960e-12      -6.531993003319e-15 
   95       4.221874450722e-10       8.371695945701e-14      -2.746144150381e-12       0.000000000000e+00       5.722616048473e-12       1.612283756786e-12      -6.458855361269e-15 
   96       4.269727624918e-10       8.561903409214e-14      -2.832573639148e-12       0.000000000000e+00       5.555755397479e-12       1.576431783298e-12      -6.392656029943e-15 
   97       4.317787158443e-10       8.751493577911e-14      -2.919386855398e-12       0.000000000000e+00       5.395088706743e-12       1.541763085146e-12      -6.332198667579e-15 
   98       4.366044484642e-10       8.940298490271e-14      -3.006529880762e-12       0.000000000000e+00       5.240027763169e-12       1.508171047043e-12      -6.276144078772e-15 
   99       4.414491349529e-10       9.128149521896e-14      -3.093946819426e-12       0.000000000000e+00       5.090021648357e-12       1.475555211242e-12      -6.223232672276e-15 
  100       4.463127952935e-10       9.314884645103e-14      -3.181575359240e-12       0.000000000000e+00       4.944978177347e-12       1.443900805573e-12      -6.172996688352e-15 
  101       4.511955799762e-10       9.500342243614e-14      -3.269350636054e-12       0.000000000000e+00       4.804896881245e-12       1.413209410801e-12      -6.125141671911e-15 
  102       4.560975142471e-10       9.684358964462e-14      -3.357206604773e-12       0.000000000000e+00       4.669738746359e-12       1.383474327661e-12      -6.079327542682e-15 
  103       4.610184923231e-10       9.866769767936e-14      -3.445076052962e-12       0.000000000000e+00       4.539424854088e-12       1.354680280384e-12      -6.035167223760e-15 
  104       4.659582716071e-10       1.004740797753e-13      -3.532890614444e-12       0.000000000000e+00       4.413835020828e-12       1.326803120223e-12      -5.992225270145e-15 
  105       4.709164669031e-10       1.022610532988e-13      -3.620580782909e-12       0.000000000000e+00       4.292806437859e-12       1.299809528975e-12      -5.950016497288e-15 
  106       4.758925446314e-10       1.040269202475e-13      -3.708075925508e-12       0.000000000000e+00       4.176132311249e-12       1.273656722507e-12      -5.908004609634e-15 
  107       4.808858170439e-10       1.057699677491e-13      -3.795304296463e-12       0.000000000000e+00       4.063560501745e-12       1.248292154282e-12      -5.865600829168e-15 
  108       4.858954364390e-10       1.074884685615e-13      -3.882193050665e-12       0.000000000000e+00       3.954792164674e-12       1.223653218879e-12      -5.822162523957e-15 
